geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.23578637517257772, y=0.15333400485734416, z=0.08649999739137805), orientation=geometry_msgs.msg.Quaternion(x=0.6334873620195967, y=0.4127474143831778, z=0.548349507265422, w=-0.35727601649596186))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.15882597514316707, y=0.2221647636325142, z=0.0914999976291108), orientation=geometry_msgs.msg.Quaternion(x=-0.16625799792675403, y=0.6434477023279396, z=0.18693129355244498, w=0.7234569952561745))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.3493992908312684, y=0.44736006276065077, z=0.09249999770440524), orientation=geometry_msgs.msg.Quaternion(x=-0.38958901224535164, y=0.5414982942057375, z=-0.4350840714561106, w=-0.6047328746439555))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.22191475819406975, y=0.15623904165799835, z=0.04249999924583253), orientation=geometry_msgs.msg.Quaternion(x=-0.3458237008762764, y=0.5820131439452964, z=0.375949999793327, w=0.6327149957465407))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.27624114699879737, y=0.14105538318691543, z=0.06450000082722757), orientation=geometry_msgs.msg.Quaternion(x=-0.42886514663548025, y=0.4977362277805259, z=0.49209398731109466, w=0.5711189378828271))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.2751906449369535, y=0.13971761653957657, z=0.034499999635134664), orientation=geometry_msgs.msg.Quaternion(x=-0.42886514663548025, y=0.4977362277805259, z=0.49209398731109466, w=0.5711189378828271))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.22177775691805351, y=0.15631360706861236, z=0.07049999638480958), orientation=geometry_msgs.msg.Quaternion(x=-0.3458237008762764, y=0.5820131439452964, z=0.375949999793327, w=0.6327149957465407))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.4394951026775171, y=0.38495833357249637, z=0.10050000350340049), orientation=geometry_msgs.msg.Quaternion(x=-0.1906870918996382, y=0.6796850493220719, z=-0.1913237784561906, w=-0.6819544548634889))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.42691579710424404, y=0.40374729958869426, z=0.06350000112981119), orientation=geometry_msgs.msg.Quaternion(x=-0.21850055724160486, y=0.616920449170107, z=-0.25242539530359726, w=-0.7127047675487265))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.2345800367669686, y=0.15186677692155315, z=0.09250000210014499), orientation=geometry_msgs.msg.Quaternion(x=0.6334873620195967, y=0.4127474143831778, z=0.548349507265422, w=-0.35727601649596186))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.276022576766406, y=0.13959325144825271, z=0.04650000160208794), orientation=geometry_msgs.msg.Quaternion(x=-0.42886514663548025, y=0.4977362277805259, z=0.49209398731109466, w=0.5711189378828271))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.4366242671157856, y=0.3600401951732762, z=0.12150000539858465), orientation=geometry_msgs.msg.Quaternion(x=-0.7378394757952937, y=-0.1546811157332881, z=0.643034943943874, w=-0.13480623598606384))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.3657417230704174, y=0.15206111696806843, z=0.05550000260411405), orientation=geometry_msgs.msg.Quaternion(x=-0.5614259608680933, y=0.364875629123744, z=0.6227738199179356, w=0.40474613643580737))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.19466942703368645, y=0.17767176124277806, z=0.02949999982428114), orientation=geometry_msgs.msg.Quaternion(x=-0.2673380118933679, y=0.5861146541459126, z=0.31740560691063585, w=0.6958833812457442))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.4365773659087946, y=0.38318131049548526, z=0.10849999736412208), orientation=geometry_msgs.msg.Quaternion(x=-0.1906870918996382, y=0.6796850493220719, z=-0.1913237784561906, w=-0.6819544548634889))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.1942495719158886, y=0.17803627344790196, z=0.03550000080775778), orientation=geometry_msgs.msg.Quaternion(x=-0.2673380118933679, y=0.5861146541459126, z=0.31740560691063585, w=0.6958833812457442))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.39878842173590284, y=0.423773470100326, z=0.09449999995286802), orientation=geometry_msgs.msg.Quaternion(x=-0.29785681130439723, y=0.6188279131323768, z=-0.31524191007041363, w=-0.6549472284260477))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.14478129374861035, y=0.33078788328378117, z=0.10950000144851764), orientation=geometry_msgs.msg.Quaternion(x=0.700234981171117, y=-0.06834450383392908, z=0.7072726954159102, w=0.0690314005297052))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.22300027798471916, y=0.15855927166516998, z=0.0585000018684369), orientation=geometry_msgs.msg.Quaternion(x=-0.3458237008762764, y=0.5820131439452964, z=0.375949999793327, w=0.6327149957465407))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.4273805047172354, y=0.40317354527808635, z=0.08349999695748606), orientation=geometry_msgs.msg.Quaternion(x=-0.21850055724160486, y=0.616920449170107, z=-0.25242539530359726, w=-0.7127047675487265))
